receiver: (g=0): rw=read, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
sender: (g=0): rw=write, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
fio-2.6-20-g2caf
Starting 2 processes
fio: waiting for connection
tid=5199 RECV 85208 : poll=0
tid=5199 RECV 596668 : poll=0
tid=5199 RECV 547116 : poll=0
tid=5199 RECV 489844 : poll=0
tid=5199 RECV 361672 : poll=0
tid=5199 RECV 360856 : poll=0
tid=5199 RECV 531632 : poll=0
tid=5199 RECV 367144 : poll=0
tid=5199 RECV 442402 : poll=0
tid=5199 RECV 243060 : poll=0
tid=5199 RECV 244352 : poll=0
tid=5199 RECV 244724 : poll=0
tid=5199 RECV 302988 : poll=0
tid=5199 RECV 330224 : poll=0
tid=5199 RECV 329372 : poll=0
tid=5199 RECV 249068 : poll=0
tid=5199 RECV 244640 : poll=0
tid=5199 RECV 242584 : poll=0
tid=5199 RECV 242756 : poll=0
tid=5199 RECV 243624 : poll=0
tid=5199 RECV 241992 : poll=0
tid=5199 RECV 246180 : poll=0
tid=5199 RECV 238968 : poll=0
tid=5199 RECV 242700 : poll=0
tid=5199 RECV 242608 : poll=0
tid=5199 RECV 242120 : poll=0
tid=5199 RECV 241832 : poll=0
tid=5199 RECV 242520 : poll=0
tid=5199 RECV 242540 : poll=0
tid=5199 RECV 242136 : poll=0
tid=5199 RECV 268396 : poll=0
tid=5199 RECV 243388 : poll=0
tid=5199 RECV 243716 : poll=0
tid=5199 RECV 242172 : poll=0
tid=5199 RECV 243172 : poll=0
tid=5199 RECV 242500 : poll=0
tid=5199 RECV 242608 : poll=0
tid=5199 RECV 243416 : poll=0
tid=5199 RECV 242392 : poll=0
tid=5199 RECV 242892 : poll=0
tid=5199 RECV 243484 : poll=0
tid=5199 RECV 241884 : poll=0
tid=5199 RECV 241836 : poll=0
tid=5199 RECV 241708 : poll=0
tid=5199 RECV 242216 : poll=0
tid=5199 RECV 241308 : poll=0
tid=5199 RECV 242248 : poll=0
tid=5199 RECV 241284 : poll=0
tid=5199 RECV 241224 : poll=0
tid=5199 RECV 491400 : poll=0
tid=5199 RECV 249204 : poll=0
tid=5199 RECV 248752 : poll=0
tid=5199 RECV 248360 : poll=0
tid=5199 RECV 248044 : poll=0
tid=5199 RECV 248012 : poll=0
tid=5199 RECV 248092 : poll=0
tid=5199 RECV 247668 : poll=0
tid=5199 RECV 247464 : poll=0
tid=5199 RECV 245372 : poll=0
tid=5199 RECV 248612 : poll=0
tid=5199 RECV 248196 : poll=0
tid=5199 RECV 246568 : poll=0
tid=5199 RECV 247360 : poll=0
tid=5199 RECV 247504 : poll=0
tid=5199 RECV 247728 : poll=0
tid=5199 RECV 246692 : poll=0
tid=5199 RECV 247784 : poll=0
tid=5199 RECV 247444 : poll=0
tid=5199 RECV 244572 : poll=0
tid=5199 RECV 248176 : poll=0
tid=5199 RECV 247864 : poll=0
tid=5199 RECV 248236 : poll=0
tid=5199 RECV 247876 : poll=0
tid=5199 RECV 247540 : poll=0
tid=5199 RECV 248256 : poll=0
tid=5199 RECV 248668 : poll=0
tid=5199 RECV 282712 : poll=0
tid=5199 RECV 244640 : poll=0
tid=5199 RECV 247864 : poll=0
tid=5199 RECV 247624 : poll=0
tid=5199 RECV 247996 : poll=0
tid=5199 RECV 247964 : poll=0
tid=5199 RECV 248236 : poll=0
tid=5199 RECV 247684 : poll=0
tid=5199 RECV 247296 : poll=0
tid=5199 RECV 279608 : poll=0
tid=5199 RECV 247408 : poll=0
tid=5199 RECV 247588 : poll=0
tid=5199 RECV 247180 : poll=0
tid=5199 RECV 247104 : poll=0
tid=5199 RECV 247864 : poll=0
tid=5199 RECV 247476 : poll=0
tid=5199 RECV 246752 : poll=0
tid=5199 RECV 247672 : poll=0
tid=5199 RECV 247788 : poll=0
tid=5199 RECV 246224 : poll=0
tid=5199 RECV 247504 : poll=0
ttid=5200 SEND 109800 : poll=0
tid=5200 SEND 110156 : poll=0
tid=5200 SEND 109416 : poll=0
tid=5200 SEND 109276 : poll=0
tid=5200 SEND 109808 : poll=0
tid=5200 SEND 109552 : poll=0
tid=5200 SEND 109400 : poll=0
tid=5200 SEND 114640 : poll=0
tid=5200 SEND 110704 : poll=0
tid=5200 SEND 109652 : poll=0
tid=5200 SEND 108896 : poll=0
tid=5200 SEND 109624 : poll=0
tid=5200 SEND 109576 : poll=0
tid=5200 SEND 108904 : poll=0
tid=5200 SEND 108812 : poll=0
tid=5200 SEND 109556 : poll=0
tid=5200 SEND 142820 : poll=0
tid=5200 SEND 110608 : poll=0
tid=5200 SEND 110124 : poll=0
tid=5200 SEND 109844 : poll=0
tid=5200 SEND 109944 : poll=0
tid=5200 SEND 110072 : poll=0
tid=5200 SEND 109400 : poll=0
tid=5200 SEND 109624 : poll=0
tid=5200 SEND 109184 : poll=0
tid=5200 SEND 109580 : poll=0
tid=5200 SEND 114168 : poll=0
tid=5200 SEND 110056 : poll=0
tid=5200 SEND 108872 : poll=0
tid=5200 SEND 110000 : poll=0
tid=5200 SEND 109908 : poll=0
tid=5200 SEND 110504 : poll=0
tid=5200 SEND 109596 : poll=0
tid=5200 SEND 109600 : poll=0
tid=5200 SEND 109920 : poll=0
tid=5200 SEND 113404 : poll=0
tid=5200 SEND 109792 : poll=0
tid=5200 SEND 109704 : poll=0
tid=5200 SEND 109892 : poll=0
tid=5200 SEND 109696 : poll=0
tid=5200 SEND 109564 : poll=0
tid=5200 SEND 109552 : poll=0
tid=5200 SEND 109620 : poll=0
tid=5200 SEND 109984 : poll=0
tid=5200 SEND 114960 : poll=0
tid=5200 SEND 110256 : poll=0
tid=5200 SEND 109900 : poll=0
